dataset_type,category,label,risk,content,contains_url,contains_phone,contains_email,contains_upi,contains_money,contains_otp,contains_urgency,contains_kyc,contains_reward,contains_social_engineering,contains_qr,contains_job_keywords,contains_salary,contains_registration_fee,contains_bank_name,contains_deadline,contains_telegram,contains_apk_link,contains_crypto,contains_refund,contains_collect_request,trust_score,risk_level
qr,url_qr,url_qr,HIGH,https://kyc-update.live,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,SAFE
qr,safe_qr,legitimate,SAFE,https://npci.org.in,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,SAFE
qr,safe_qr,legitimate,SAFE,https://sbi.co.in,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90,SAFE
qr,upi_qr,upi_scam,CRITICAL,"upi://pay?pn=Cashback&am=₹25,000",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85,SAFE
qr,upi_qr,upi_scam,CRITICAL,"upi://pay?pn=Cashback&am=₹50,000",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85,SAFE
qr,upi_qr,upi_scam,CRITICAL,upi://pay?pn=Cashback&am=₹999,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85,SAFE
qr,malicious_qr,malicious,CRITICAL,https://verify-bank-now.com,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,60,LOW
qr,url_qr,url_qr,HIGH,https://verify-bank-now.com,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,60,LOW
qr,url_qr,url_qr,HIGH,https://reward-center.xyz,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75,LOW
qr,malicious_qr,malicious,CRITICAL,https://wallet-verify.net/login,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
qr,url_qr,url_qr,HIGH,https://wallet-verify.net,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
qr,upi_qr,upi_scam,CRITICAL,upi://pay?pn=Refund&am=₹499,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,SAFE
qr,url_qr,url_qr,HIGH,https://secure-login-now.in,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,LOW
qr,safe_qr,legitimate,SAFE,https://digilocker.gov.in,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,SAFE
qr,upi_qr,upi_scam,CRITICAL,"upi://pay?pn=Refund&am=₹1,500",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,SAFE
qr,url_qr,url_qr,HIGH,https://verify-bank-now.com/reward,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,45,MEDIUM
qr,url_qr,url_qr,HIGH,https://kyc-update.live/reward,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,75,LOW
qr,safe_qr,legitimate,SAFE,upi://pay?pn=Paytm&am=₹499,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,SAFE
qr,upi_qr,upi_scam,CRITICAL,"upi://pay?pn=Cashback&am=₹5,000",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85,SAFE
qr,safe_qr,legitimate,SAFE,"upi://pay?pn=Paytm&am=₹1,500",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,SAFE
qr,malicious_qr,malicious,CRITICAL,https://reward-center.xyz,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75,LOW
