dataset_type,category,label,risk,url,contains_url,contains_phone,contains_email,contains_upi,contains_money,contains_otp,contains_urgency,contains_kyc,contains_reward,contains_social_engineering,contains_qr,contains_job_keywords,contains_salary,contains_registration_fee,contains_bank_name,contains_deadline,contains_telegram,contains_apk_link,contains_crypto,contains_refund,contains_collect_request,trust_score,risk_level
url,crypto_scam,crypto_scam,CRITICAL,https://wallet-verify.net/crypto,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,50,MEDIUM
url,courier_scam,courier_scam,HIGH,https://reward-center.xyz/parcel,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75,LOW
url,reward_scam,reward_scam,HIGH,https://verify-bank-now.com/cashback,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,45,MEDIUM
url,lottery_scam,lottery_scam,CRITICAL,https://account-safe.co/winner,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
url,legitimate,legitimate,SAFE,https://icicibank.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90,SAFE
url,crypto_scam,crypto_scam,CRITICAL,https://secure-login-now.in/trade,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,LOW
url,legitimate,legitimate,SAFE,https://axisbank.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90,SAFE
url,government_scam,government_scam,HIGH,https://account-safe.co/refund,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,75,LOW
url,reward_scam,reward_scam,HIGH,https://account-safe.co/reward,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
url,banking_phishing,phishing,CRITICAL,https://secure-login-now.in/kyc,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,75,LOW
url,banking_phishing,phishing,CRITICAL,https://account-safe.co/login,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,LOW
url,lottery_scam,lottery_scam,CRITICAL,https://wallet-verify.net/claim,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
url,government_scam,government_scam,HIGH,https://kyc-update.live/pan,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,SAFE
url,government_scam,government_scam,HIGH,https://wallet-verify.net/refund,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,60,LOW
url,reward_scam,reward_scam,HIGH,https://reward-center.xyz/cashback,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75,LOW
url,banking_phishing,phishing,CRITICAL,https://secure-login-now.in/verify,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
url,government_scam,government_scam,HIGH,https://upi-security-alert.in/refund,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,60,LOW
url,legitimate,legitimate,SAFE,https://incometax.gov.in,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,SAFE
url,government_scam,government_scam,HIGH,https://reward-center.xyz/aadhaar,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,75,LOW
url,legitimate,legitimate,SAFE,https://npci.org.in,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,SAFE
url,courier_scam,courier_scam,HIGH,https://kyc-update.live/tracking,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,SAFE
url,banking_phishing,phishing,CRITICAL,https://reward-center.xyz/login,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
