dataset_type,category,label,risk,message,contains_url,contains_phone,contains_email,contains_upi,contains_money,contains_otp,contains_urgency,contains_kyc,contains_reward,contains_social_engineering,contains_qr,contains_job_keywords,contains_salary,contains_registration_fee,contains_bank_name,contains_deadline,contains_telegram,contains_apk_link,contains_crypto,contains_refund,contains_collect_request,trust_score,risk_level
whatsapp,apk_scam,apk_scam,CRITICAL,"
Install this security update.

Download APK:

https://kyc-update.live/update.apk
",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,75,LOW
whatsapp,upi_scam,upi_scam,CRITICAL,"
Refund of ₹999 pending.

Approve Collect Request in Mobikwik.
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,80,SAFE
whatsapp,upi_scam,upi_scam,CRITICAL,"
Refund of ₹999 pending.

Approve Collect Request in Google Pay.
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,80,SAFE
whatsapp,reward_scam,reward_scam,HIGH,"
Congratulations!

You received cashback of ₹999.

Claim before expiry.

https://account-safe.co
",1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
whatsapp,telegram_scam,telegram_scam,CRITICAL,"
Exclusive investment signals.

Join Telegram immediately.

https://t.me/investment
",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,65,LOW
whatsapp,investment_scam,investment_scam,CRITICAL,"
Invest ₹500 today.

Earn ₹10,000 every week.

Limited Offer.

https://wallet-verify.net
",1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,60,LOW
whatsapp,apk_scam,apk_scam,CRITICAL,"
Install this security update.

Download APK:

https://wallet-verify.net/update.apk
",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,60,LOW
whatsapp,fake_customer_care,fake_customer_care,HIGH,"
Your account has been blocked.

Contact support immediately.

https://wallet-verify.net
",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
whatsapp,job_scam,job_scam,HIGH,"
Immediate joining available.

Company:
HCL

Deposit security amount:

₹1,500
",0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,85,SAFE
whatsapp,upi_scam,upi_scam,CRITICAL,"
Refund of ₹999 pending.

Approve Collect Request in Paytm.
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,80,SAFE
whatsapp,upi_scam,upi_scam,CRITICAL,"
Refund of ₹999 pending.

Approve Collect Request in WhatsApp Pay.
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,80,SAFE
whatsapp,fake_customer_care,fake_customer_care,HIGH,"
Your account has been blocked.

Contact support immediately.

https://upi-security-alert.in
",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
whatsapp,apk_scam,apk_scam,CRITICAL,"
Your banking application expired.

Install latest APK.

https://verify-bank-now.com
",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,60,LOW
whatsapp,upi_scam,upi_scam,CRITICAL,"
Refund of ₹499 pending.

Approve Collect Request in Paytm.
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,80,SAFE
whatsapp,upi_scam,upi_scam,CRITICAL,"
Cashback waiting.

Click below and approve payment request.

https://wallet-verify.net
",1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45,MEDIUM
whatsapp,lottery_scam,lottery_scam,CRITICAL,"
You are today's lucky winner.

Verify immediately.

https://account-safe.co
",1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,45,MEDIUM
whatsapp,lottery_scam,lottery_scam,CRITICAL,"
You are today's lucky winner.

Verify immediately.

https://reward-center.xyz
",1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,45,MEDIUM
whatsapp,apk_scam,apk_scam,CRITICAL,"
Your banking application expired.

Install latest APK.

https://secure-login-now.in
",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,60,LOW
whatsapp,reward_scam,reward_scam,HIGH,"
Congratulations!

You received cashback of ₹999.

Claim before expiry.

https://secure-login-now.in
",1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
whatsapp,investment_scam,investment_scam,CRITICAL,"
Invest ₹500 today.

Earn ₹10,000 every week.

Limited Offer.

https://kyc-update.live
",1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,75,LOW
whatsapp,lottery_scam,lottery_scam,CRITICAL,"
You are today's lucky winner.

Verify immediately.

https://secure-login-now.in
",1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,45,MEDIUM
whatsapp,reward_scam,reward_scam,HIGH,"
Congratulations!

You received cashback of ₹50,000.

Claim before expiry.

https://upi-security-alert.in
",1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45,MEDIUM
whatsapp,reward_scam,reward_scam,HIGH,"
Congratulations!

You received cashback of ₹10,000.

Claim before expiry.

https://secure-login-now.in
",1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
whatsapp,job_scam,job_scam,HIGH,"
Immediate joining available.

Company:
Wipro

Deposit security amount:

₹999
",0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,85,SAFE
whatsapp,legitimate,legitimate,SAFE,"
Dear Customer,

Your account statement is ready.

Visit:

https://npci.org.in
",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,LOW
whatsapp,fake_customer_care,fake_customer_care,HIGH,"
Your account has been blocked.

Contact support immediately.

https://account-safe.co
",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
whatsapp,reward_scam,reward_scam,HIGH,"
Festival Reward.

Verify account now.

https://wallet-verify.net
",1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45,MEDIUM
whatsapp,upi_scam,upi_scam,CRITICAL,"
Cashback waiting.

Click below and approve payment request.

https://reward-center.xyz
",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
whatsapp,reward_scam,reward_scam,HIGH,"
Festival Reward.

Verify account now.

https://upi-security-alert.in
",1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45,MEDIUM
